Package,CurrentVersion,AvailableVersion,Pocket
util-linux/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
uuid-dev/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
vim-common/noble-updates,noble-security,2:9.1.0016-1ubuntu7.18,all,[upgradable
vim-doc/noble-updates,noble-security,2:9.1.0016-1ubuntu7.18,all,[upgradable
vim-runtime/noble-updates,noble-security,2:9.1.0016-1ubuntu7.18,all,[upgradable
vim-tiny/noble-updates,noble-security,2:9.1.0016-1ubuntu7.18,amd64,[upgradable
vim/noble-updates,noble-security,2:9.1.0016-1ubuntu7.18,amd64,[upgradable
wget/noble-updates,noble-security,1.21.4-1ubuntu4.4,amd64,[upgradable
xxd/noble-updates,noble-security,2:9.1.0016-1ubuntu7.18,amd64,[upgradable
xz-utils/noble-updates,noble-security,5.6.1+really5.4.5-1ubuntu0.3,amd64,[upgradable
